[2017-09-24T17:59:54+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2018-01-24T01:26:15+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:26:20+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:26:56+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:27:01+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:27:49+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:27:54+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:29:01+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:29:06+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:30:00+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:30:05+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:34:43+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:34:48+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:37:30+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:37:31+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:37:44+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:37:45+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:38:18+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:38:19+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:42:06+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:42:08+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:49:12+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:49:26+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:51:50+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:52:00+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:02:35+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:02:42+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:03:55+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:03:55+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:04:16+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:04:17+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:07:07+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:07:07+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:07:23+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:07:24+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:08:39+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:08:40+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:11:34+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:11:35+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:11:46+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:11:47+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:11:53+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:11:54+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:11:59+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:12:00+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:12:12+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:12:13+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:12:19+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:12:20+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:13:58+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:13:59+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:14:09+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:14:10+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:14:26+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:14:26+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:14:38+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:14:40+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:14:51+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:14:52+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:14:59+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:15:00+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:15:06+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:15:07+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:15:26+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:15:27+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:15:38+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:15:40+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:15:52+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:15:52+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:16:00+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:16:01+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:16:06+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:16:07+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:16:13+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:16:14+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:22:54+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:22:55+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:23:36+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:23:37+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:23:51+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:23:53+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:24:03+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:24:05+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:24:19+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:24:19+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:25:29+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:25:31+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:25:52+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:25:53+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:36:24+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:36:26+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:36:44+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:36:45+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:41:58+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:42:00+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:42:28+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:42:29+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:54:12+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:54:22+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:54:27+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:54:27+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:55:15+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T02:55:17+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:05:39+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:05:39+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:06:25+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:06:27+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:06:31+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:06:37+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:09:45+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:09:49+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:22:01+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:22:01+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:23:03+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:23:05+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:23:14+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:23:15+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:29:45+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:29:47+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:32:55+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:32:55+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:33:38+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T03:33:40+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:09:40+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:09:42+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:13:40+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:13:40+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:14:22+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:14:24+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:19:49+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:19:49+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:21:24+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:21:24+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:22:11+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:22:13+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:34:30+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:34:30+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:35:23+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:35:25+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:40:36+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:40:40+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:43:26+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:43:26+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:44:34+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:44:36+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:44:56+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:44:57+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:45:57+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:46:02+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:46:21+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:46:26+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-25T12:52:46+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
